,Channel,Surevy year,Degree,Degree year,Nationality,Career (Aspiration or current),Crypto type,Crypto usage purpose,Crypto knowledge,Crypto usage duration (years),Trade performance,Remittance amount (%),Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
5967,online,2021,STEM,MSc,Turkey,Finance,"BTC,ETH","trade,remittance",+++,1,+++,100,family,Y,Y
5968,f2f,2022,STEM,MSc,ME,Medical,"BTC,ETH","trade,remittance",++,1-3,+,75,family,Y,N
5969,online,2021,STEM,Phd,Europe,,"BTC,ALT","remittance,trans",++,11,,25,friends,Y,Y
5970,online,2023,Humanities,Phd,Turkey,Retail,BTC,remittance,+,4-5,,75,family,N,N
5971,online,2023,Humanities,PhD,South America,Retail,,"remittance,trans",+++,1,,25,study/research,Y,Y
5972,f2f,2022,STEM,MSc,South America,Finance,ALT,"remittance,trans",++,1,,25,study/research,Y,Y
5973,online,2021,Business,1st,Turkey,Technology,ALT,"remittance,trans",+++,1,,25,study/research,Y,N
5974,online,2023,Business,1st,ME,Retail,"BTC,NFT,DOGE",trade,++,1-3,++,,marketing,Y,Y
5975,online,2022,STEM,PhD,India,Engineering,"BTC,ETH","trade,remittance",+++,5+,+++,25,family,Y,Y
5976,online,2024,Humanities,MSc,Turkey,Finance,"BTC,ALT","remittance,trans",+++,1,,50,marketing,Y,N
5977,online,2022,Humanities,1st,Africa,Medical,BTC,remittance,++,1,,75,marketing,Y,Y
5978,f2f,2020,Business,MSc,India,Retail,"BTC,ETH","trade,remittance",,1-3,--,75,family,Y,N
5979,online,2023,STEM,MSc,China,Technology,ETH,"trade,remittance",+,4-5,-,25,family,Y,Y
5980,f2f,2021,Business,MSc,UK,Engineering,BTC,trade,+++,4-5,+,,study/research,Y,Y
5981,online,2021,STEM,PhD,India,Retail,ETH,"trade,remittance",,4-5,++,100,marketing,Y,N
5982,f2f,2020,Business,3rd,South America,Public,"ETH,NFT,ALT",remittance,+++,4-5,,50,friends,N,Y
5983,online,2024,STEM,MSc,Turkey,Finance,ETH,"trade,remittance,trans",,4-5,-,25,family,Y,Y
5984,f2f,2023,STEM,PhD,China,Engineering,"BTC,NFT,DOGE",trade,+++,5+,+++,,friends,Y,Y
5985,f2f,2020,STEM,1st,USA,Retail,"BTC,NFT,ALT",trade,+,1,,,study/research,Y,N
5986,online,2023,STEM,MSc,China,Engineering,BTC,trade,++,5+,--,,study/research,N,Y
5987,online,2020,Business,MSc,China,Technology,"BTC,ETH","trade,remittance,trans",+++,1-3,+,,family,Y,Y
5988,online,2024,Business,MSc,India,Technology,,"trade,remittance,trans",+++,1-3,+++,75,marketing,N,Y
5989,online,2021,Business,3rd,ME,,BTC,trade,+,1,-,,friends,Y,Y
5990,online,2022,Humanities,MSc,China,Engineering,ALT,"remittance,trans",++,,,50,study/research,Y,Y
5991,f2f,2023,Business,Phd,India,Retail,ALT,"remittance,trans",++,1,,25,study/research,Y,Y
5992,online,2021,STEM,PhD,Europe,Medical,"BTC,ETH","trade,remittance",+++,1-3,++,50,marketing,Y,N
5993,online,2021,STEM,2nd,Africa,Retail,"BTC,NFT,DOGE",trade,+,1,--,,friends,Y,N
5994,online,2020,Business,PhD,Europe,Medical,DOGE,trade,+++,1,--,,family,N,Y
5995,online,2024,Humanities,3rd,South America,Technology,"BTC,ALT","remittance,trans",++,1,,25,study/research,N,Y
5996,f2f,2023,Humanities,3rd,USA,Finance,"NFT,ALT",remittance,+++,5+,,50,marketing,N,N
5997,online,2021,STEM,MSc,Turkey,Finance,ETH,remittance,++,,,50,marketing,Y,N
5998,online,2024,Humanities,1st,Europe,Legal,"ETH,DOGE","remittance,trans",+++,1,,100,friends,Y,Y
5999,online,2024,Business,3rd,Europe,Technology,,"remittance,trans",++,11,,100,study/research,N,Y
6000,f2f,2024,Business,PhD,USA,,"NFT,ALT","remittance,trans",+++,4-5,,50,study/research,Y,N
6001,f2f,2022,STEM,Phd,South America,Engineering,"BTC,NFT","remittance,trans",+++,4-5,,50,friends,Y,Y
6002,online,2023,Business,Phd,South America,Medical,ETH,"remittance,trans",+++,4-5,,25,study/research,Y,Y
6003,online,2023,Business,3rd,China,Finance,ALT,"remittance,trans",++,1,,25,study/research,Y,Y
6004,online,2021,STEM,PhD,China,Technology,BTC,"trade,remittance",++,1-3,+++,25,family,Y,Y
6005,online,2022,STEM,3rd,Turkey,Engineering,"BTC,ETH",remittance,+++,4-5,,75,family,Y,Y
6006,online,2020,Business,2nd,ME,Finance,"BTC,ALT",trade,+,1,--,,friends,N,Y
6007,online,2024,Humanities,PhD,China,Finance,,"remittance,trans",+++,1-3,,25,study/research,Y,Y
6008,f2f,2022,Humanities,3rd,Turkey,Technology,"BTC,ALT","remittance,trans",++,1-3,,75,study/research,Y,Y
6009,f2f,2024,STEM,3rd,Europe,Finance,"BTC,ETH",trade,++,4-5,--,,friends,N,N
6010,online,2024,Humanities,1st,South America,Medical,,"remittance,trans",+++,,,75,study/research,Y,Y
6011,online,2020,STEM,3rd,Turkey,Engineering,"BTC,ETH",remittance,++,1-3,,50,family,Y,N
6012,f2f,2024,Business,MSc,Turkey,Finance,"ETH,DOGE","remittance,trans",+++,5+,,100,study/research,Y,N
6013,online,2022,Humanities,1st,ME,Finance,"BTC,ALT",remittance,++,11-3,,100,friends,N,Y
6014,online,2022,STEM,3rd,South America,Technology,"NFT,ALT",remittance,+,,,75,friends,N,Y
6015,online,2023,Business,MSc,Turkey,Technology,BTC,"trade,remittance",+++,4-5,+,25,family,Y,Y
6016,f2f,2021,STEM,MSc,ME,Technology,BTC,"trade,remittance",++,4-5,+++,25,study/research,N,N
6017,online,2021,Humanities,2nd,India,Engineering,ETH,remittance,++,4-5,,75,family,Y,Y
6018,f2f,2023,STEM,3rd,USA,Finance,"ETH,NFT,ALT","remittance,trans",+++,5+,,25,family,Y,N
6019,online,2022,Business,3rd,South America,Engineering,"BTC,ALT","remittance,trans",++,,,50,marketing,Y,Y
6020,online,2021,STEM,2nd,ME,Finance,"BTC,ETH",trade,++,1,--,,family,Y,N
6021,online,2024,STEM,MSc,USA,Finance,NFT,"trade,remittance,trans",++,1-3,+,25,marketing,Y,N
6022,f2f,2020,Humanities,3rd,Europe,Retail,"BTC,ETH",remittance,++,5+,,100,study/research,Y,Y
6023,f2f,2023,Business,2nd,South America,Retail,ETH,"trade,remittance,trans",++,,-,75,marketing,Y,Y
6024,online,2020,STEM,1st,China,Engineering,ETH,remittance,++,11-3,,75,study/research,Y,Y
6025,f2f,2023,STEM,PhD,UK,Finance,NFT,trade,++,4-5,-,,study/research,Y,Y
6026,online,2024,Business,MSc,Africa,Technology,ETH,"trade,remittance",++,1,+++,25,study/research,Y,Y
6027,online,2023,Business,PhD,Turkey,Engineering,"ETH,DOGE",remittance,+++,1-3,,50,marketing,Y,Y
6028,f2f,2022,Business,2nd,China,Technology,"BTC,ALT",remittance,++,,,75,study/research,Y,N
6029,online,2021,STEM,MSc,Africa,Retail,BTC,"trade,remittance",+++,1,,25,friends,Y,Y
6030,f2f,2024,STEM,Phd,South America,Public,BTC,remittance,++,1-3,,25,marketing,Y,Y
6031,f2f,2024,Business,3rd,Europe,Legal,"ETH,NFT,ALT","remittance,trans",+++,5+,,100,study/research,Y,N
6032,f2f,2021,STEM,1st,ME,Finance,"BTC,NFT,ALT",trade,+++,4-5,--,,marketing,Y,Y
6033,online,2024,Business,1st,China,Retail,"BTC,ALT","remittance,trans",+++,4-5,,100,marketing,Y,Y
6034,online,2020,Humanities,1st,ME,Finance,"BTC,ETH",trade,+,4-5,+,,marketing,N,Y
6035,f2f,2021,Humanities,3rd,India,Legal,"BTC,ALT","remittance,trans",+++,1,,75,study/research,Y,N
6036,online,2021,Business,3rd,South America,Retail,"ETH,DOGE","remittance,trans",++,1,,100,study/research,N,Y
6037,online,2020,Humanities,2nd,India,,"BTC,NFT",trade,+,1,+,,friends,Y,N
6038,online,2022,Business,1st,ME,Engineering,"BTC,ALT",remittance,++,1-3,,25,friends,N,Y
6039,online,2020,Business,MSc,ME,Finance,"BTC,NFT,DOGE",trade,++,1-3,,,marketing,Y,N
6040,f2f,2022,Humanities,MSc,Turkey,Medical,"BTC,ALT",remittance,+++,4-5,,50,marketing,Y,N
6041,online,2022,STEM,1st,ME,Engineering,"BTC,ETH",remittance,+++,1-3,,50,friends,Y,N
6042,online,2023,Business,2nd,China,Technology,ETH,"trade,remittance,trans",,1-3,+++,75,marketing,Y,Y
6043,online,2022,Business,3rd,ME,Medical,ETH,remittance,+++,1-3,,75,friends,Y,Y
6044,online,2023,Business,3rd,USA,Medical,"BTC,NFT,DOGE",trade,+++,1,-,,marketing,Y,N
6045,online,2021,STEM,Phd,South America,Finance,"BTC,ALT","remittance,trans",++,5+,,100,family,N,Y
6046,f2f,2023,STEM,PhD,Turkey,Medical,"BTC,DOGE",remittance,+++,4-5,,75,friends,Y,Y
6047,f2f,2020,STEM,MSc,Africa,Finance,ETH,trade,+++,1-3,,,study/research,Y,Y
6048,online,2024,Business,MSc,Turkey,,ETH,remittance,+++,1-3,,25,marketing,Y,Y
6049,online,2023,Business,1st,Europe,Technology,"BTC,DOGE","remittance,trans",+++,1-3,,25,marketing,Y,Y
6050,f2f,2023,Humanities,1st,USA,Legal,"BTC,ALT",remittance,++,1-3,,50,marketing,Y,Y
6051,online,2020,STEM,MSc,Africa,Retail,"BTC,NFT","trade,remittance",+++,4-5,+++,25,marketing,Y,Y
6052,online,2021,STEM,2nd,Europe,Medical,"BTC,NFT,DOGE",trade,++,1,+,,family,N,N
6053,online,2020,STEM,2nd,ME,Retail,ETH,trade,++,1-3,--,,marketing,N,Y
6054,online,2024,STEM,3rd,Turkey,,"BTC,ETH",remittance,++,1,,50,family,Y,N
6055,online,2020,STEM,MSc,Europe,Finance,BTC,remittance,++,1-3,,25,marketing,Y,Y
6056,online,2024,Business,3rd,India,Technology,"BTC,ALT","remittance,trans",+++,1-3,,75,study/research,Y,Y
6057,f2f,2024,Business,MSc,Turkey,Finance,"BTC,ALT","remittance,trans",++,1,,25,family,N,Y
6058,online,2021,STEM,PhD,Africa,Technology,ETH,"trade,remittance",+++,1,+++,25,friends,N,N
6059,f2f,2021,STEM,MSc,Africa,Technology,ETH,"trade,remittance",,1,--,,marketing,Y,Y
6060,online,2023,STEM,1st,ME,,BTC,remittance,+++,1-3,,100,friends,Y,Y
6061,f2f,2023,Business,Phd,Turkey,Finance,ALT,"remittance,trans",+++,4-5,,25,study/research,Y,N
6062,f2f,2023,STEM,PhD,USA,Engineering,ALT,"remittance,trans",+++,4-5,,75,study/research,Y,Y
6063,f2f,2022,STEM,PhD,India,Retail,"BTC,ETH","trade,remittance",+++,1,-,25,marketing,Y,Y
6064,f2f,2023,STEM,MSc,China,Technology,ETH,trade,+++,1,+++,,friends,Y,N
6065,f2f,2024,STEM,PhD,China,Technology,BTC,trade,+++,1,+++,,study/research,Y,Y
6066,online,2023,Humanities,MSc,Turkey,Legal,"ETH,ALT",trade,++,1,-,,marketing,Y,N
6067,online,2022,STEM,PhD,Turkey,Public,"BTC,ALT","remittance,trans",+++,1,,25,marketing,Y,Y
6068,online,2020,STEM,MSc,China,Technology,"BTC,ETH","trade,remittance",+,4-5,-,25,family,Y,Y
6069,f2f,2020,Humanities,MSc,Europe,Public,NFT,trade,++,1,,,friends,N,N
6070,online,2023,STEM,3rd,Turkey,,ALT,"remittance,trans",+++,1,,100,friends,Y,Y
6071,online,2021,STEM,MSc,South America,Retail,ETH,"trade,remittance",+++,,,75,marketing,Y,Y
6072,online,2024,STEM,2nd,Turkey,Finance,ETH,trade,+,4-5,-,,marketing,N,N
6073,online,2021,Business,3rd,China,Technology,ETH,"trade,remittance,trans",++,1-3,-,25,family,Y,Y
6074,online,2023,STEM,PhD,ME,,"NFT,ALT",remittance,+++,,,25,friends,N,Y
6075,online,2023,Humanities,3rd,ME,Medical,DOGE,trade,++,4-5,-,,marketing,Y,N
6076,online,2020,Business,MSc,USA,Legal,"BTC,ETH,ALT",remittance,+++,5+,,25,marketing,N,Y
6077,f2f,2020,Business,PhD,ME,,NFT,trade,++,1,+,,marketing,Y,N
6078,f2f,2021,STEM,PhD,India,Technology,ETH,"trade,remittance",,1,++,,family,Y,Y
6079,f2f,2020,Business,1st,ME,Medical,"BTC,NFT,DOGE",trade,++,1,,,marketing,Y,N
6080,f2f,2022,STEM,1st,ME,,"BTC,NFT,DOGE",trade,++,1-3,-,,study/research,Y,N
6081,online,2021,STEM,PhD,Turkey,Technology,NFT,"trade,remittance",+++,1,--,100,family,Y,Y
6082,online,2024,STEM,3rd,China,Engineering,"BTC,ETH","remittance,trans",+++,11,,50,study/research,Y,Y
6083,online,2024,STEM,MSc,Turkey,Retail,BTC,"trade,remittance",+++,1-3,+,25,marketing,N,Y
6084,f2f,2023,STEM,PhD,China,Technology,"BTC,ETH",trade,+++,4-5,++,,study/research,Y,Y
6085,online,2021,Business,MSc,South America,Engineering,"BTC,NFT","trade,remittance,trans",,4-5,+++,50,family,Y,Y
6086,online,2021,Humanities,3rd,USA,,"ETH,DOGE","remittance,trans",+++,5+,,50,family,N,Y
6087,f2f,2020,STEM,1st,Africa,Retail,"BTC,ETH",trade,++,1-3,--,,marketing,Y,N
6088,online,2024,Humanities,1st,ME,Legal,"BTC,NFT,ALT",trade,+++,1,+,,friends,N,Y
6089,online,2023,Humanities,3rd,USA,Technology,"BTC,ALT","remittance,trans",+++,4-5,,50,friends,Y,N
6090,online,2020,Business,2nd,ME,Finance,"BTC,ALT",trade,++,1-3,++,,marketing,Y,Y
6091,online,2024,STEM,3rd,China,,"NFT,ALT",remittance,+,1-3,,50,study/research,N,Y
6092,online,2022,STEM,PhD,China,Finance,"ETH,NFT,ALT",remittance,+,1-3,,50,friends,Y,Y
6093,online,2024,Business,1st,Turkey,Public,BTC,"remittance,trans",+++,1,,100,family,Y,Y
6094,online,2022,Humanities,3rd,ME,Technology,BTC,remittance,+,4-5,,25,study/research,Y,Y
6095,online,2024,Business,3rd,India,Technology,DOGE,"trade,remittance,trans",,1-3,++,25,family,N,Y
6096,online,2021,Humanities,2nd,Turkey,Engineering,BTC,remittance,+++,1,,75,marketing,Y,Y
6097,online,2023,Humanities,MSc,USA,Technology,"BTC,DOGE","remittance,trans",++,4-5,,100,study/research,N,Y
6098,online,2023,STEM,3rd,USA,Technology,ALT,"remittance,trans",+++,4-5,,75,study/research,Y,Y
6099,online,2024,Business,1st,South America,Finance,"BTC,ALT","remittance,trans",+++,1-3,,50,study/research,N,Y
6100,online,2021,STEM,1st,Europe,,"BTC,DOGE",trade,++,1,--,,marketing,Y,Y
6101,online,2023,Business,3rd,China,Engineering,,remittance,++,1,,75,marketing,N,Y
6102,f2f,2024,STEM,MSc,India,Retail,"BTC,ETH",trade,+,1,--,,friends,Y,Y
6103,online,2023,Business,Phd,USA,Technology,"BTC,ALT","remittance,trans",++,,,75,study/research,Y,Y
6104,online,2024,STEM,MSc,China,Technology,BTC,"trade,remittance",+++,4-5,,75,family,Y,Y
6105,online,2024,Business,MSc,South America,Finance,"BTC,ETH,ALT","remittance,trans",++,,,75,family,Y,Y
6106,online,2023,Business,MSc,Turkey,Finance,"BTC,ALT","remittance,trans",++,,,25,friends,Y,Y
6107,online,2020,STEM,MSc,South America,Finance,"BTC,ALT","remittance,trans",++,5+,,75,study/research,Y,Y
6108,online,2024,Business,PhD,USA,Finance,"BTC,NFT","trade,remittance,trans",+++,1-3,,,marketing,Y,N
6109,online,2021,Business,MSc,Turkey,Finance,"NFT,ALT",trade,++,1,++,,study/research,Y,Y
6110,f2f,2023,STEM,3rd,Turkey,Finance,ETH,trade,+++,,--,,friends,N,Y
6111,f2f,2024,Business,1st,Europe,Retail,"BTC,DOGE","remittance,trans",+++,4-5,,25,study/research,Y,Y
6112,f2f,2023,STEM,PhD,Europe,Technology,ETH,trade,+++,1-3,,,study/research,Y,Y
6113,online,2022,STEM,MSc,Europe,Technology,BTC,"remittance,trans",++,4-5,,75,study/research,Y,Y
6114,f2f,2020,Business,MSc,Turkey,Medical,ETH,remittance,+,1-3,,25,marketing,Y,Y
6115,online,2024,Business,Phd,USA,Retail,"BTC,ALT","remittance,trans",++,1,,50,study/research,Y,Y
6116,online,2022,STEM,PhD,China,Technology,"NFT,ALT",remittance,++,1-3,,100,friends,N,Y
6117,f2f,2023,Business,3rd,Turkey,Finance,"BTC,ALT","remittance,trans",++,4-5,,25,study/research,Y,Y
6118,online,2021,STEM,2nd,South America,Technology,"BTC,NFT",remittance,+++,1,,25,friends,Y,Y
6119,online,2021,Humanities,1st,India,Retail,"BTC,ETH,ALT",trade,+,1,--,,marketing,Y,N
6120,online,2023,STEM,3rd,USA,Public,"BTC,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
6121,online,2024,Business,2nd,China,Technology,BTC,"trade,remittance,trans",++,4-5,,25,family,Y,Y
6122,f2f,2021,Humanities,1st,Europe,Retail,DOGE,trade,+,1,-,,marketing,Y,N
6123,online,2020,STEM,3rd,UK,Medical,"ETH,NFT,ALT",trade,+,1,-,,friends,Y,N
6124,online,2021,Humanities,PhD,China,Engineering,"BTC,ETH,ALT",remittance,++,,,25,friends,Y,Y
6125,online,2022,Business,3rd,India,Finance,"BTC,ALT","remittance,trans",++,4-5,,25,study/research,Y,Y
6126,f2f,2024,Business,MSc,South America,Engineering,"BTC,ETH","trade,remittance,trans",,1-3,--,,friends,Y,N
6127,f2f,2024,Business,1st,India,,ALT,"remittance,trans",+++,1,,75,marketing,N,N
6128,online,2021,STEM,2nd,Europe,Finance,"BTC,ALT",trade,++,1,,,marketing,N,Y
6129,online,2023,Humanities,2nd,South America,Technology,,remittance,+++,,,25,marketing,N,N
6130,online,2023,Humanities,PhD,China,Public,BTC,trade,+,1-3,--,,marketing,Y,N
6131,online,2024,STEM,MSc,ME,Engineering,ETH,"trade,remittance",,1,,100,study/research,Y,Y
6132,online,2022,Humanities,2nd,China,Public,"ETH,ALT",trade,++,1,+,,friends,Y,N
6133,online,2020,STEM,MSc,UK,Technology,NFT,trade,++,1-3,+,,friends,N,Y
6134,f2f,2021,Business,2nd,Europe,Engineering,"BTC,ETH",remittance,++,,,25,friends,Y,Y
6135,f2f,2023,Humanities,3rd,India,Technology,"BTC,ALT","remittance,trans",++,4-5,,25,study/research,Y,Y
6136,f2f,2023,Humanities,PhD,USA,Finance,BTC,"remittance,trans",++,,,25,study/research,Y,N
6137,online,2022,Business,MSc,ME,Finance,DOGE,"trade,remittance",+++,1-3,-,25,family,Y,Y
6138,online,2021,STEM,MSc,Europe,Engineering,BTC,"trade,remittance",+,1-3,+,25,family,Y,Y
6139,f2f,2020,Humanities,3rd,USA,Finance,"BTC,ETH,ALT",remittance,+++,4-5,,25,marketing,N,Y
6140,f2f,2024,Humanities,3rd,China,Technology,BTC,"remittance,trans",+++,11,,100,marketing,Y,Y
6141,online,2021,STEM,MSc,Africa,Medical,ETH,"trade,remittance",,4-5,+,25,family,Y,Y
6142,online,2024,Humanities,MSc,Turkey,Retail,"BTC,ALT","remittance,trans",+++,1,,50,friends,Y,Y
6143,f2f,2020,Business,3rd,China,Finance,"BTC,ETH","trade,remittance,trans",+++,,+,,marketing,N,N
6144,f2f,2021,Business,3rd,South America,Technology,"BTC,ALT","remittance,trans",++,1,,25,study/research,Y,Y
6145,online,2023,STEM,MSc,Turkey,Retail,ETH,trade,+++,1,--,,family,Y,N
6146,online,2022,Business,1st,USA,,"BTC,ALT",remittance,+++,,,75,friends,N,Y
6147,f2f,2021,STEM,MSc,India,Engineering,BTC,"trade,remittance",+,,-,25,marketing,Y,N
6148,online,2022,Business,PhD,China,Finance,ETH,"trade,remittance,trans",+++,1-3,-,,marketing,Y,N
6149,online,2023,Business,2nd,ME,Technology,"BTC,ETH","trade,remittance,trans",++,1-3,--,,family,Y,N
6150,online,2021,STEM,2nd,Turkey,Retail,"BTC,ETH,NFT",trade,++,1-3,--,,marketing,N,Y
6151,f2f,2020,STEM,1st,South America,Medical,BTC,remittance,++,1-3,,50,marketing,Y,Y
6152,online,2024,STEM,MSc,South America,Technology,ETH,"trade,remittance",+++,1,-,75,study/research,N,N
6153,online,2021,Business,MSc,Africa,Technology,ETH,"trade,remittance",++,4-5,+,25,family,N,Y
6154,online,2021,Business,2nd,Turkey,Finance,"BTC,NFT,ALT",trade,+,1-3,,,marketing,Y,N
6155,online,2020,Humanities,PhD,UK,Public,"ETH,DOGE",trade,+,1,+,,marketing,Y,N
6156,f2f,2024,Humanities,PhD,South America,Finance,"BTC,ETH",remittance,+,5+,,100,friends,N,Y
6157,online,2021,STEM,MSc,ME,Retail,"BTC,ETH","trade,remittance",++,1,-,,family,N,Y
6158,online,2021,STEM,PhD,Turkey,Engineering,BTC,"trade,remittance",++,1,,100,family,Y,Y
6159,f2f,2020,Business,Phd,South America,Finance,"BTC,ETH",remittance,+++,5+,,100,family,Y,Y
6160,online,2022,STEM,MSc,China,Retail,DOGE,"trade,remittance",+++,1,,,family,Y,Y
6161,f2f,2024,Business,1st,USA,,"BTC,NFT,DOGE",trade,+,1,--,,study/research,N,N
6162,online,2021,STEM,2nd,Europe,Finance,"BTC,ETH",trade,++,1-3,,,friends,Y,N
6163,online,2024,STEM,1st,South America,Medical,BTC,remittance,+++,11-3,,75,marketing,Y,Y
6164,online,2020,Business,2nd,Africa,Retail,BTC,trade,++,1-3,,,marketing,Y,Y
6165,online,2021,Humanities,PhD,ME,Medical,"BTC,NFT,DOGE",trade,+,1-3,,,friends,Y,N
6166,online,2021,Humanities,MSc,UK,Legal,NFT,trade,+,1-3,--,,marketing,Y,N
6167,online,2024,Humanities,3rd,ME,Medical,"BTC,NFT,DOGE",trade,+,1,--,,marketing,Y,N
6168,online,2023,Humanities,MSc,South America,Finance,ALT,"remittance,trans",+++,1,,25,study/research,Y,Y
6169,f2f,2020,Humanities,MSc,Europe,Legal,BTC,remittance,+++,,,100,marketing,Y,N
6170,f2f,2023,STEM,3rd,India,Finance,BTC,"trade,remittance,trans",++,1-3,,25,marketing,Y,Y
6171,online,2023,STEM,PhD,South America,Finance,BTC,"trade,remittance,trans",+++,,++,,friends,N,Y
6172,f2f,2021,Humanities,3rd,USA,Technology,"NFT,ALT","remittance,trans",++,11,,25,study/research,Y,Y
6173,online,2024,Humanities,1st,India,Retail,"BTC,ETH,ALT","remittance,trans",+++,4-5,,50,study/research,Y,Y
6174,online,2023,STEM,3rd,Turkey,Engineering,"BTC,ETH",trade,++,1-3,-,,study/research,Y,Y
6175,online,2024,STEM,3rd,USA,Finance,ALT,"remittance,trans",++,5+,,25,study/research,N,Y
6176,f2f,2021,STEM,1st,Europe,Finance,"BTC,ETH",trade,+,4-5,--,,family,N,N
6177,online,2020,Business,3rd,USA,Technology,BTC,"trade,remittance,trans",++,1-3,,25,marketing,Y,Y
6178,online,2023,Business,1st,USA,Medical,DOGE,trade,+++,1,,,study/research,Y,N
6179,online,2021,STEM,MSc,India,Engineering,ETH,"trade,remittance",+++,1-3,,25,marketing,N,Y
6180,online,2024,Business,2nd,Turkey,,"BTC,ALT",remittance,++,1-3,,25,marketing,Y,Y
6181,f2f,2023,STEM,MSc,UK,Finance,"BTC,ETH,ALT",trade,+++,4-5,++,,study/research,N,Y
6182,f2f,2020,Business,2nd,USA,Finance,BTC,remittance,+,1-3,,25,marketing,N,N
6183,online,2023,STEM,PhD,Europe,Engineering,"BTC,ETH","trade,remittance",+,1,+++,,family,Y,Y
6184,f2f,2021,Business,MSc,UK,Finance,"ETH,NFT,ALT",trade,+++,4-5,++,,study/research,Y,N
6185,online,2020,Business,3rd,USA,,"BTC,ALT","remittance,trans",++,4-5,,25,friends,Y,N
6186,online,2020,Business,MSc,India,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,,,family,Y,N
6187,f2f,2020,Business,MSc,South America,,"BTC,DOGE",remittance,++,,,100,marketing,N,Y
6188,online,2024,Business,MSc,USA,Finance,"BTC,ETH","trade,remittance,trans",+++,4-5,+,25,family,Y,Y
6189,online,2023,STEM,PhD,Africa,Engineering,DOGE,trade,+++,1-3,,,friends,Y,N
6190,f2f,2024,Humanities,2nd,ME,Retail,,trade,++,1,--,,friends,Y,Y
6191,online,2021,Humanities,MSc,ME,,"BTC,ALT",trade,+,1,--,,marketing,N,N
6192,online,2021,STEM,MSc,Turkey,Technology,ETH,"trade,remittance",+++,1-3,--,50,family,N,Y
6193,f2f,2022,Business,PhD,USA,Legal,"BTC,ETH","remittance,trans",+++,11,,50,study/research,Y,Y
6194,online,2020,STEM,MSc,Europe,Medical,BTC,trade,+++,1,--,,study/research,Y,N
6195,f2f,2020,Humanities,1st,South America,Finance,"BTC,ETH",remittance,+,1-3,,25,friends,N,Y
6196,online,2021,STEM,PhD,Europe,Technology,BTC,"trade,remittance",+++,1-3,,25,study/research,Y,Y
6197,online,2021,Humanities,1st,USA,Public,ETH,trade,++,1,-,,friends,Y,N
6198,online,2023,Business,3rd,Europe,Public,"ETH,DOGE","remittance,trans",++,,,75,friends,N,Y
6199,online,2020,STEM,2nd,USA,Public,"BTC,ALT",remittance,+++,1-3,,25,marketing,N,Y
6200,online,2021,Business,MSc,South America,Technology,BTC,"trade,remittance",++,5+,+++,25,family,Y,Y
6201,online,2022,Business,PhD,India,Retail,BTC,"trade,remittance,trans",++,1-3,++,50,family,Y,N
6202,f2f,2022,STEM,MSc,Europe,Medical,"BTC,NFT,DOGE",trade,+,5+,,,friends,Y,Y
6203,f2f,2021,Business,2nd,Europe,Public,BTC,trade,+,1,--,,friends,N,N
6204,f2f,2020,Humanities,3rd,USA,Finance,BTC,remittance,+,1-3,,50,marketing,Y,N
6205,online,2022,STEM,MSc,Europe,Retail,"ETH,NFT,ALT",trade,+++,1-3,--,,friends,Y,Y
6206,online,2024,Business,PhD,USA,Engineering,"BTC,NFT","trade,remittance,trans",,1-3,++,25,friends,Y,Y
6207,online,2023,STEM,MSc,Turkey,Public,"BTC,ETH,ALT","remittance,trans",+++,,,25,friends,Y,Y
6208,online,2021,Business,MSc,China,Medical,"BTC,ETH","trade,remittance",+++,4-5,+++,100,friends,Y,N
6209,f2f,2024,STEM,MSc,USA,Finance,NFT,"trade,remittance,trans",,1-3,-,100,friends,Y,Y
6210,online,2020,STEM,2nd,Africa,Finance,ETH,trade,+,1,+,,marketing,Y,N
6211,online,2023,STEM,2nd,Africa,Finance,"BTC,ETH",trade,++,1,,,study/research,Y,N
6212,f2f,2024,STEM,MSc,Europe,Medical,DOGE,trade,+,1,++,,marketing,Y,N
6213,online,2020,STEM,1st,Europe,Finance,BTC,trade,+,1-3,++,,friends,Y,Y
6214,online,2020,Humanities,Phd,Turkey,Legal,ETH,remittance,+++,5+,,75,study/research,Y,Y
6215,online,2021,STEM,PhD,Turkey,Finance,DOGE,"trade,remittance",+++,1,-,25,family,N,Y
6216,online,2022,STEM,2nd,South America,Engineering,BTC,remittance,++,1-3,,75,friends,Y,N
6217,f2f,2022,Business,1st,Africa,Technology,"BTC,ETH,ALT",remittance,++,11-3,,50,study/research,N,N
6218,f2f,2024,Business,3rd,South America,Finance,BTC,"remittance,trans",+++,1,,50,family,N,Y
6219,f2f,2021,Business,Phd,Turkey,,"BTC,ETH,ALT","remittance,trans",+++,5+,,75,study/research,Y,Y
6220,online,2022,STEM,MSc,China,Finance,BTC,"trade,remittance",+++,1,,50,friends,N,Y
6221,online,2020,STEM,MSc,India,Medical,"BTC,NFT","trade,remittance",,4-5,+,,study/research,Y,N
6222,online,2021,Business,Phd,Turkey,,"BTC,ALT","remittance,trans",++,1,,25,study/research,Y,Y
6223,online,2024,Business,2nd,China,Engineering,BTC,remittance,+++,1-3,,75,study/research,Y,Y
6224,online,2020,Humanities,3rd,Turkey,Technology,"BTC,NFT","remittance,trans",++,1-3,,50,study/research,Y,Y
